,dataset,algorithm,time_ms,instance
407,control,DP,0.492803,instancias/control/n_30-i_0.in
408,control,FB,4.3875,instancias/control/n_17-i_2.in
409,control,BT,0.110891,instancias/control/n_17-i_2.in
410,control,BT-F,0.059875,instancias/control/n_17-i_2.in
411,control,BT-O-G,1.77864,instancias/control/n_17-i_2.in
412,control,BT-O-C,1.28258,instancias/control/n_17-i_2.in
413,control,DP,0.071002,instancias/control/n_17-i_2.in
414,control,FB,251.161,instancias/control/n_23-i_0.in
415,control,BT,1.31911,instancias/control/n_23-i_0.in
416,control,BT-F,1.51585,instancias/control/n_23-i_0.in
417,control,BT-O-G,280.376,instancias/control/n_23-i_0.in
418,control,BT-O-C,41.4294,instancias/control/n_23-i_0.in
419,control,DP,0.312415,instancias/control/n_23-i_0.in
420,control,FB,0.030431,instancias/control/n_9-i_0.in
421,control,BT,0.018267,instancias/control/n_9-i_0.in
422,control,BT-F,0.004488,instancias/control/n_9-i_0.in
423,control,BT-O-G,0.059712,instancias/control/n_9-i_0.in
424,control,BT-O-C,0.008306,instancias/control/n_9-i_0.in
425,control,DP,0.045612,instancias/control/n_9-i_0.in
426,control,FB,0.058656,instancias/control/n_10-i_2.in
427,control,BT,0.03445,instancias/control/n_10-i_2.in
428,control,BT-F,0.005776,instancias/control/n_10-i_2.in
429,control,BT-O-G,0.091399,instancias/control/n_10-i_2.in
430,control,BT-O-C,0.017716,instancias/control/n_10-i_2.in
431,control,DP,0.028573,instancias/control/n_10-i_2.in
432,control,FB,64.1965,instancias/control/n_21-i_0.in
433,control,BT,0.960284,instancias/control/n_21-i_0.in
434,control,BT-F,0.675579,instancias/control/n_21-i_0.in
435,control,BT-O-G,57.4755,instancias/control/n_21-i_0.in
436,control,BT-O-C,14.651,instancias/control/n_21-i_0.in
437,control,DP,0.201565,instancias/control/n_21-i_0.in
438,control,FB,4.61303,instancias/control/n_17-i_0.in
439,control,BT,0.268492,instancias/control/n_17-i_0.in
440,control,BT-F,0.086281,instancias/control/n_17-i_0.in
441,control,BT-O-G,7.93308,instancias/control/n_17-i_0.in
442,control,BT-O-C,1.03707,instancias/control/n_17-i_0.in
443,control,DP,0.134053,instancias/control/n_17-i_0.in
444,control,FB,2004.04,instancias/control/n_26-i_1.in
445,control,BT,4.83478,instancias/control/n_26-i_1.in
446,control,BT-F,7.1301,instancias/control/n_26-i_1.in
447,control,BT-O-G,2360.88,instancias/control/n_26-i_1.in
448,control,BT-O-C,269.211,instancias/control/n_26-i_1.in
449,control,DP,0.525165,instancias/control/n_26-i_1.in
450,control,FB,3971.07,instancias/control/n_27-i_2.in
451,control,BT,3.19133,instancias/control/n_27-i_2.in
452,control,BT-F,9.95706,instancias/control/n_27-i_2.in
453,control,BT-O-G,3787.01,instancias/control/n_27-i_2.in
454,control,BT-O-C,476.567,instancias/control/n_27-i_2.in
455,control,DP,0.36071,instancias/control/n_27-i_2.in
456,control,FB,0.024936,instancias/control/n_9-i_1.in
